Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  5  5  1  0.0000000000000000  0.2407318172598388  0  
2  10  5  1  0.2195306308150729  0.1496570737334093  0  
3  14  4  1  0.1524900090133109  0.1612897210919889  0  
4  18  4  1  0.1403605575144650  0.3947044729960603  0  
5  22  4  1  0.1581564328795338  0.3804202658518833  0  
6  26  4  1  0.0897752852378915  0.2680537600346830  0  
7  30  4  1  0.1187645228388373  0.2148413726164450  0  
8  34  4  1  0.1454837338035455  0.2371411982451434  0  
9  38  4  1  0.1517469507346652  0.3032676955349352  0  
10  42  4  1  0.0988495562425468  0.2684731787045504  0  
11  46  4  1  0.0788477398234887  0.1764029980635165  0  
12  49  3  1  0.0705953959688619  0.3402772352628902  0  
13  53  4  1  0.0504415198104842  0.1868864602130335  0  
14  57  4  1  0.0621186180128556  0.2531886365194767  0  
15  60  3  1  0.0629623516262132  0.2795703456279435  0  
16  63  3  1  0.0471587238303375  0.3648884372029125  0  
17  66  3  1  0.0518096491592899  0.2010088698974537  0  
18  69  3  1  0.0715958236602286  0.2047830597209122  0  
19  72  3  1  0.0616246858559453  0.3303956415408362  0  
20  75  3  1  0.0601094901841858  0.1707686623280270  0  
21  78  3  1  0.0790755758272822  0.1849390066485372  0  
22  81  3  1  0.0811492682072285  0.1832061619331408  0  
23  84  3  1  0.0990536003272744  0.1548613038101939  0  
24  87  3  1  0.1283187796151048  0.2263284100715748  0  
25  90  3  1  0.0874829739937149  0.3035163919107888  0  
26  93  3  1  0.1495614745942361  0.3428652814483609  0  
27  96  3  1  0.0586295661315097  0.3663738420723130  0  
28  99  3  1  0.0692324766635973  0.3659066028393126  0  
29  102  3  1  0.0911803670654725  0.3627155859969134  0  
30  105  3  1  0.0719709257028482  0.2968715179875830  0  
31  108  3  1  0.0733779575269703  0.1746512501859802  0  
32  111  3  1  0.0820319315433402  0.3596224070715175  0  
33  114  3  1  0.1013657701513227  0.2517130999372071  0  
34  117  3  1  0.1031763554458041  0.3428465591673773  0  
35  120  3  1  0.0661602429147795  0.4288994915585836  0  
36  123  3  1  0.0752729770397162  0.2694577876225449  0  
37  126  3  1  0.0836961679240611  0.2057998356677448  0  
38  129  3  1  0.0516075049477753  0.1746511495891003  0  
39  132  3  1  0.0878623117108880  0.1890766313899233  0  
40  135  3  1  0.1039919781951671  0.1597658382822504  0  
41  138  3  1  0.0845975039834999  0.2992244451141962  0  
42  141  3  1  0.0833359867751689  0.2634753533950452  0  
43  144  3  1  0.0681528766035630  0.4533683478277837  0  
44  147  3  1  0.0950791010200639  0.3433493906404579  0  
45  150  3  1  0.0668200458948859  0.1784059161783272  0  
46  153  3  1  0.1028436484392233  0.1554675362844865  0  
47  156  3  1  0.1262557845631283  0.2102718365422959  0  
48  159  3  1  0.1327437342426772  0.1810296786437673  0  
49  162  3  1  0.1360489740642374  0.2027405138084888  0  
50  165  3  1  0.1117559570158401  0.2504500720022676  0  
51  168  3  1  0.0909409911678934  0.1624778364543542  0  
52  171  3  1  0.0835444777694138  0.2255353947763385  0  
53  174  3  1  0.1378227365538381  0.2774589945271521  0  
54  177  3  1  0.1001709210769900  0.2557803161291892  0  
55  180  3  1  0.0919234812859674  0.2373220230872205  0  
56  183  3  1  0.0794719888960483  0.2184205572962732  0  
57  186  3  1  0.0929260766086182  0.2103690835568833  0  
58  189  3  1  0.0884345309413437  0.2609211205226016  0  
59  191  2  1  0.0335213155741192  0.2863920606831132  0  
60  193  2  1  0.0538827987436440  0.2736011340412082  0  
61  196  3  1  0.0878462018226181  0.1977561284555985  0  
62  198  2  1  0.0669811787329135  0.3174540465490146  0  
63  201  3  1  0.1256647745614693  0.5149711600736446  0  
64  203  2  1  0.0381361063656266  0.4337014276646932  0  
65  206  3  1  0.1007229692362362  0.2221827318637336  0  
66  209  3  1  0.1001424492105785  0.2598818969148268  0  
67  212  3  1  0.1041629534708902  0.1897662852318947  0  
68  215  3  1  0.1226060039431898  0.2497341828373845  0  
69  218  3  1  0.1162870073516711  0.2864078703152237  0  
70  220  2  1  0.0455012037075450  0.3772793164912147  0  
71  223  3  1  0.1017061793981438  0.2347123593426964  0  
72  225  2  1  0.0365130013521630  0.3391536265420095  0  
73  228  3  1  0.1186294322374777  0.2493820235453316  0  
74  230  2  1  0.0366231229716036  0.4529430486530490  0  
75  232  2  1  0.0515205502178245  0.3189640541318854  0  
76  235  3  1  0.1008334839189449  0.2416782704797533  0  
77  238  3  1  0.0961040968236682  0.2964106315786156  0  
78  240  2  1  0.0511291583442902  0.3371199892983696  0  
79  243  3  1  0.0951559323812854  0.2669891541360602  0  
80  245  2  1  0.0593556303734298  0.4118350601534794  0  
81  247  2  1  0.0528875861049107  0.3517720170866592  0  
82  249  2  1  0.0418058894957600  0.3966401843861487  0  
83  252  3  1  0.1560476699312259  0.3050059911117153  0  
84  255  3  1  0.1118885193373391  0.3351182666049984  0  
85  257  2  1  0.0505433150294506  0.7092047580185188  0  
86  259  2  1  0.0664231472475092  0.4957280808205652  0  
87  261  2  1  0.0550409502933301  0.4121437117651982  0  
88  264  3  1  0.1337683484187355  0.2808744425865939  0  
89  267  3  1  0.1121620491699456  0.2599206017738806  0  
90  270  3  1  0.1147873987271198  0.3802143197939412  0  
91  273  3  1  0.1088618881244415  0.6184570061980400  0  
92  276  3  1  0.0935463258208667  0.2538357302206238  0  
93  279  3  1  0.0820997451331689  0.4383983193806173  0  
94  281  2  1  0.0527788064809969  0.4219970760406584  0  
95  283  2  1  0.0529425474154260  0.3400564635578986  0  
96  286  3  1  0.1398909026649283  0.2935817225945752  0  
97  288  2  1  0.0560789581032569  0.3172490140856570  0  
98  291  3  1  0.0892538667095542  0.2757983689318679  0  
99  294  3  1  0.0852866660705984  0.4625373613778852  0  
100  297  3  1  0.1071632241269446  0.3680136265819127  0  
101  299  2  1  0.0259897960521494  0.5022846762611932  0  
102  301  2  1  0.0445472998839873  0.4358691653494537  0  
103  303  2  1  0.0601276849051465  0.3533030155804760  0  
104  306  3  1  0.1547639396150140  0.3183002754251847  0  
105  308  2  1  0.0535913126209021  0.4928814637094863  0  
106  310  2  1  0.0365840748672747  0.4284975496339626  0  
107  312  2  1  0.0596553137061175  0.4293164042002262  0  
108  314  2  1  0.0525283417185039  0.4729088903186132  0  
109  316  2  1  0.0494625223866665  0.4938246327113026  0  
110  318  2  1  0.0475408395487518  0.4177792559639965  0  
111  320  2  1  0.0606914741246749  0.3711537780951250  0  
112  322  2  1  0.0668757339682215  0.4242397233430614  0  
113  324  2  1  0.0534232620700892  0.6154618792155566  0  
114  326  2  1  0.0663191131333606  0.4314215378540089  0  
115  328  2  1  0.0640151972125292  0.3926663325075930  0  
116  330  2  1  0.0747853494753032  0.5121275183883061  0  
117  333  3  1  0.1464933759326881  0.4336196759300271  0  
118  336  3  1  0.1284884045053484  0.5935605664932727  0  
119  338  2  1  0.0653705263509192  0.4575879767524771  0  
120  341  3  1  0.1221507937312837  0.4000639352553322  0  
121  344  3  1  0.1155324392568718  0.5674109239164447  0  
122  346  2  1  0.0427026008412038  0.5151056250980710  0  
