Timestep  Iteration  resNorm(0)  resNorm(1)  
1  1  inf  1.0000000000000000  
1  2  1.0000000000000000  0.5000000000000000  
1  3  0.4988924738125725  0.0216838858193351  
1  4  0.0120290172576706  0.0015988862404451  
1  5  0.0000713291414611  0.0008084766315866  
2  1  0.3846127303800598  1.0871455822109986  
2  2  0.0585814829608527  0.0276350822210413  
2  3  0.0110787749297263  0.0123432662412136  
2  4  0.0023456187985541  0.0005052338747387  
2  5  0.0001961097931544  0.0000816157453429  
3  1  1.1410264212999104  0.5755209381149532  
3  2  0.0208218306359913  0.0229029848484596  
3  3  0.0042470707156365  0.0031539972001325  
3  4  0.0006169660424554  0.0003894824489399  
4  1  1.8527889797502164  0.0331192511339949  
4  2  0.0240993145338944  0.0495889368336152  
4  3  0.0057405977731887  0.0186575565240629  
4  4  0.0007191281629341  0.0008038383105198  
5  1  1.0715083205918254  0.0158459283627674  
5  2  0.0126218066320030  0.0489757581208484  
5  3  0.0062049158310377  0.0069442628751518  
5  4  0.0006704138727840  0.0003318732643644  
6  1  1.0765278282157533  0.0322967265486748  
6  2  0.0103625178788865  0.0306118895183454  
6  3  0.0008701299146633  0.0035824577931682  
6  4  0.0000699282138631  0.0001667424277645  
7  1  0.6665389401871361  0.1192977256308165  
7  2  0.0199008271234980  0.0513189036561083  
7  3  0.0006771844927809  0.0029311810441081  
7  4  0.0001326088288297  0.0002541580312501  
8  1  0.5887255267181140  0.0882890200317757  
8  2  0.0056668842202590  0.0227824298835027  
8  3  0.0009732794288789  0.0025511659621787  
8  4  0.0002637367324724  0.0002792124222385  
9  1  0.3914938857479914  0.0560478191265075  
9  2  0.0080020528733745  0.0318654940912248  
9  3  0.0005432655637258  0.0028339785640860  
9  4  0.0002075892574965  0.0004740927599803  
10  1  0.6080825407262601  0.0101372534673166  
10  2  0.0016622069171159  0.0242175188094430  
10  3  0.0005879397619464  0.0041018598537340  
10  4  0.0000580579143253  0.0000526652226940  
